總藻,平均
1998/8,740 
1998/11,451 
1999/1,232 
1999/5,804 
1999/7,651 
1999/1,23 
2000/2,110 
2000/7,178 
2000/9,220 
2000/11,5 
2001/2,503 
2001/5,1590 
2001/8,417 
2001/10,114 
2002/3,412 
2002/5,46 
2002/8,35 
2002/10,11 
2003/4,90 
2003/6,99 
2003/8,157 
2003/10,443 
2004/2,987 
2004/5,91 
2004/9,50 
2004/11,27 
2005/5,12 
2005/8,209 
2005/10,14 
2005/11,23 
2006/3,865 
2006/6,43 
2006/8,277 
2006/10,405 
2007/2,125 
2007/5,1277 
2007/9,65 
2007/10,194 
2008/4,143 
2008/7,318 
2008/9,978 
2008/10,14 
2009/6,901 
2009/7,1542 
2009/9,4214 
2009/10,520 
2010/3,449 
2010/5,935 
2010/7,2051 
2010/10,190 
2011/9,1428 
2011/10,270 
2012/2,1003 
2012/4,2208 
2013/3,1975 
2013/5,2029 
2013/9,4229 
2013/10,5243 
2014/04,2386 
2014/06,11040 
2014/08,35777 
2014/10,4588 
2015/03,1533 
2015/05,4743 
2015/08,3771 
2015/10,12630 
2016/04,7702 
2016/06,1931 
2016/08,5671 
2016/10,4545 
2017/03,934 
2016/06,10017 
2016/08,7718 
2016/10,1021 
2018/04,14276 
2018/06,1930 
2018/08,15890 
2018/10,11729 
2019/04,5952 
2019/06,4111 
2019/08,3733 
2019/11,6726 
2020/02,1463 
2020/06,5751 
2020/08,4893 
2020/11,1409 
2021/02,286 
2021/05,1271 
2021/07,2288 
2021/10,6154 
2022/04,531 
2022/06,1319 
2022/08,1287 
2022/10,976 
2023/03,6370 
2023/06,8747 
2023/09,6370 
2023/12,3057 
2024/03,6930 
2024/06,13723 
2024/09,22387 
2024/12,3370 